,time_stamp,hash,time
347,1.47243E+12,48475959.98,2016-08-29T00:00:00Z
348,1.47252E+12,50110733.15,2016-08-30T00:00:00Z
349,1.4726E+12,56782873.34,2016-08-31T00:00:00Z
350,1.47269E+12,52173573.36,2016-09-01T00:00:00Z
351,1.47277E+12,50366921.9,2016-09-02T00:00:00Z
352,1.47286E+12,55028946.45,2016-09-03T00:00:00Z
353,1.47295E+12,73336040.68,2016-09-04T00:00:00Z
354,1.47303E+12,72768431.13,2016-09-05T00:00:00Z
355,1.47312E+12,69180152.53,2016-09-06T00:00:00Z
356,1.47321E+12,74694515.71,2016-09-07T00:00:00Z
357,1.47329E+12,68079898.48,2016-09-08T00:00:00Z
358,1.47338E+12,70686269.83,2016-09-09T00:00:00Z
359,1.47347E+12,78208614.39,2016-09-10T00:00:00Z
360,1.47355E+12,73859453.48,2016-09-11T00:00:00Z
361,1.47364E+12,69964171.87,2016-09-12T00:00:00Z
362,1.47372E+12,65180271.51,2016-09-13T00:00:00Z
363,1.47381E+12,68151691.92,2016-09-14T00:00:00Z
364,1.4739E+12,69295301.66,2016-09-15T00:00:00Z
365,1.47398E+12,69491524.64,2016-09-16T00:00:00Z
366,1.47407E+12,63410927.51,2016-09-17T00:00:00Z
367,1.47416E+12,66249897.64,2016-09-18T00:00:00Z
368,1.47424E+12,62953193.25,2016-09-19T00:00:00Z
369,1.47433E+12,58716970.42,2016-09-20T00:00:00Z
370,1.47442E+12,60834804.61,2016-09-21T00:00:00Z
371,1.4745E+12,60913615.52,2016-09-22T00:00:00Z
372,1.47459E+12,64207262.95,2016-09-23T00:00:00Z
373,1.47468E+12,61442097.58,2016-09-24T00:00:00Z
374,1.47476E+12,65702599.89,2016-09-25T00:00:00Z
375,1.47485E+12,60979598.28,2016-09-26T00:00:00Z
376,1.47493E+12,63430963.66,2016-09-27T00:00:00Z
377,1.47502E+12,60671107.89,2016-09-28T00:00:00Z
378,1.47511E+12,63326442.04,2016-09-29T00:00:00Z
379,1.47519E+12,63454101.84,2016-09-30T00:00:00Z
380,1.47528E+12,64483502.15,2016-10-01T00:00:00Z
381,1.47537E+12,67295483.83,2016-10-02T00:00:00Z
382,1.47545E+12,63967263.69,2016-10-03T00:00:00Z
383,1.47554E+12,60726502.72,2016-10-04T00:00:00Z
384,1.47563E+12,62782307.24,2016-10-05T00:00:00Z
385,1.47571E+12,59622486,2016-10-06T00:00:00Z
386,1.4758E+12,56065297.04,2016-10-07T00:00:00Z
387,1.47588E+12,63308046.96,2016-10-08T00:00:00Z
388,1.47597E+12,60497168.21,2016-10-09T00:00:00Z
389,1.47606E+12,57804357.54,2016-10-10T00:00:00Z
390,1.47614E+12,58089832.67,2016-10-11T00:00:00Z
391,1.47623E+12,59213474.07,2016-10-12T00:00:00Z
392,1.47632E+12,62295627.3,2016-10-13T00:00:00Z
393,1.4764E+12,64165581.61,2016-10-14T00:00:00Z
394,1.47649E+12,62022939.46,2016-10-15T00:00:00Z
395,1.47658E+12,62659531.39,2016-10-16T00:00:00Z
396,1.47666E+12,60431008.17,2016-10-17T00:00:00Z
